estado,total,especie,n_animais
WV,2528,gatos,64
WV,2528,caes,105
WV,2528,cavia_p,3
WV,2528,hamsters,6
WV,2528,primatas_nao_humanos,0
WV,2528,animais_de_fazenda,10
WV,2528,porcos,0
WV,2528,coelhos,133
WV,2528,ovelhas,132
WY,233,outras_especies,70
WY,233,gatos,25
WY,233,caes,37
WY,233,cavia_p,2
WY,233,hamsters,4
WY,233,primatas_nao_humanos,0
WY,233,animais_de_fazenda,11
WY,233,porcos,2
WY,233,coelhos,4
WY,233,ovelhas,78
